room,floor,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Mon7,Mon8,Mon9,Tue1,Tue2,Tue3,Tue4,Tue5,Tue6,Tue7,Tue8,Tue9,Wen1,Wen2,Wen3,Wen4,Wen5,Wen6,Wen7,Wen8,Wen9,Thu1,Thu2,Thu3,Thu4,Thu5,Thu6,Thu7,Thu8,Thu9,Fri1,Fri2,Fri3,Fri4,Fri5,Fri6,Fri7,Fri8,Fri9
101,1,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,F,N,N,N,N,F,N,N,F,N,N,N,N,N,N,F,N,N,N,F,N,N,N,N,F,F,F,F
102,1,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,F,N,N,N,N,F,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,F,F,N,N
103,1,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,F,N,N,N,N,F,F,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,N,F,F,F,N,N
104,1,N,N,F,F,F,N,N,N,F,N,N,N,N,N,F,N,N,F,N,N,N,N,F,F,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,N,F,F,F,N,N
105,1,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,F,N,N,N,N,F,N,N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,F,N,F,N,N
106,1,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,F,N,N,N,N,F,F,N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,F,N,N,N
202,2,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,F,F,N,N,N,N,F,F,N,F,F,N,N,F,F,F,F,N,N,N,N,N,N,N,N,N,N,F,F
303,3,N,N,N,N,N,F,N,N,F,N,N,N,N,F,N,N,F,F,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N
304,3,N,N,N,N,F,F,N,N,F,N,N,N,N,F,F,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N
305,3,N,N,N,F,F,F,N,N,F,N,N,N,N,F,N,N,F,F,N,N,N,N,F,F,N,N,N,N,N,N,N,F,F,N,N,N,N,N,N,N,F,N,N,N,N
306,3,N,N,N,N,N,F,N,N,F,N,N,N,N,N,N,N,F,F,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,N,N,N,N,N,F,N,N,N,N
309,3,N,N,N,N,F,F,N,N,F,N,N,N,N,F,F,N,N,F,N,N,N,N,N,N,N,N,F,N,N,N,N,N,F,N,N,N,N,N,N,N,F,N,N,N,N
310,3,N,N,N,N,N,F,N,N,F,N,N,N,N,N,N,N,F,F,N,N,N,N,F,F,F,F,N,N,N,N,N,F,F,N,N,F,N,N,N,F,F,N,N,N,N
311,3,N,N,N,N,N,F,N,N,F,N,N,N,N,N,N,N,F,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,F,F
312,3,N,F,N,N,F,F,N,N,F,N,N,N,N,N,F,F,F,F,N,N,N,N,F,F,N,N,N,N,N,F,N,N,F,N,N,N,N,N,N,N,F,F,N,F,F
